[00:08] me013 | OK
[00:09] me013 | So
[00:10] me013 | uh
[00:12] me013 | today
[00:14] me013 | we 're looking at a
[00:16] me013 | number of uh
[00:19] me013 | things we 're trying
[00:21] me013 | and uh
[00:23] me013 | fortunately for listeners to this uh
[00:26] me013 | we lost some of it 's visual
[00:28] me013 | but um
[00:29] me013 | got tables in front of us .
[00:31] me013 | Um
[00:33] me013 | what is what does combo mean ?
[00:36] mn007 | So combo is um
[00:39] mn007 | a system where we have these features
[00:43] mn007 | that go through a network and then
[00:46] mn007 | this same string of features but low - pass filtered with the low - pass filter used in
[00:51] mn007 | the MSG features .
[00:53] mn007 | And so these low - pass filtered
[00:55] mn007 | goes through M eh another MLP
[00:59] mn007 | and then the linear output of these two MLP 's are combined
[01:03] mn007 | just by adding the values and then there is this KLT .
[01:08] mn007 | Um
[01:09] mn007 | the output is used as
[01:11] mn007 | uh features as well .
[01:14] me013 | Um
[01:15] me013 | so
[01:16] me013 | let me try to restate this and see if I have it right .
[01:22] me013 | there is the features
[01:24] me013 | uh there 's the OGI features
[01:27] me013 | and
[01:28] me013 | then um
[01:30] me013 | those
[01:31] me013 | features
[01:33] me013 | um
[01:35] me013 | go through a contextual uh l l let 's take this bottom arr
[01:40] me013 | one pointed to by the bottom arrow .
[01:42] me013 | Um those features
[01:44] me013 | go through a contextualized KLT .
[01:48] mn007 | Yeah .
[01:48] me013 | Then
[01:49] me013 | these features also
[01:52] me013 | uh get
[01:54] me013 | um low - pass filtered
[01:57] mn007 | Yeah so
[02:00] me013 | Sure .
[02:01] me013 | Yeah . Yeah .
[02:03] mn007 | Yeah .
"[02:04] fn002 | The graph , yeah another one ."
"[02:06] me013 | Yeah , that 's good ."
[02:10] mn007 | So we have these features from OGI
[02:10] me013 | So
[02:12] me013 | Yeah .
[02:14] mn007 | that goes through the three paths .
"[02:17] me013 | Three , OK ."
[02:17] mn007 | The first
[02:19] mn007 | is a KLT using
[02:22] mn007 | several
[02:23] mn007 | frames
[02:24] me013 | Yeah .
[02:24] mn007 | of the features .
[02:25] me013 | Yeah .
[02:26] mn007 | The second path
[02:28] mn007 | is uh MLP
[02:30] me013 | Yeah .
[02:30] mn007 | also using nine frames several frames of features
[02:33] me013 | Uh - huh .
[02:33] mn007 | The third path
[02:35] mn007 | is this low - pass filter .
[02:39] me013 | Uh - huh .
"[02:41] mn007 | Uh , MLP"
[02:47] me013 | Aha ! aha !
[02:48] mn007 | Adding the outputs just like in the second propose the the proposal from for the first evaluation .
[02:50] me013 | Yeah ?
[02:52] me013 | Yeah .
[02:53] me013 | Yeah .
[02:54] mn007 | And then
"[02:56] me013 | No , the KLT ."
[02:57] mn007 | the KLT
[02:58] me013 | And those two together .
[02:59] mn007 | and then the two together again .
[03:01] fn002 | Two HTK .
[03:01] me013 | That 's it .
[03:05] mn007 | Um .
[03:05] me013 | OK so that 's that 's this bottom one .
[03:07] mn007 | So
[03:07] mn007 | this is yeah
[03:09] me013 | And so uh
[03:11] me013 | and then the the the one at the top and I presume these things that uh are in yellow are in yellow because overall they 're the best ?
"[03:19] mn007 | Yeah that 's the reason , yeah ."
[03:20] me013 | Oh let 's focus on them then so what 's the block diagram for the one above it ?
[03:25] mn007 | For the f the f first
[03:27] mn007 | yellow line you mean ?
[03:29] me013 | Yeah .
[03:29] mn007 | Yeah
[03:30] mn007 | so it 's uh basically s the same except that we don't have this
[03:36] fn002 | Step .
[03:36] mn007 | uh low - pass filtering so we have only two streams .
[03:41] mn007 | Well .
[03:43] mn007 | There 's there 's no
[03:45] mn007 | low - pass processing
[03:47] me013 | Mm - hmm .
[03:48] mn007 | used as additional feature stream .
[03:50] me013 | Mm - hmm .
[03:51] mn007 | Um
[03:53] me013 | Do you e um they mentioned made some uh when I was on the phone with Sunil they they mentioned some
[04:00] me013 | weighting
[04:01] me013 | scheme that was used to evaluate all of these numbers .
[04:04] mn007 | Yeah .
