[00:42] Speaker_B | Hmm .
[01:12] Speaker_A | Good morning everybody .
[01:15] Speaker_D | Good morning .
"[01:17] Speaker_A | So , we are asked to"
[01:23] Speaker_A | to make uh uh a new remote control for television .
[01:32] Speaker_A | And the characteristics of this new remote control should be original and
[01:44] Speaker_A | trendy and of course user user friendly .
[01:49] Speaker_A | So people can can use it without any
[01:55] Speaker_A | any problem .
[02:14] Speaker_A | I don't know .
"[02:18] Speaker_C | Well , I think we should set the the points to to drive the project and uh"
[02:22] Speaker_B | Mm .
[02:23] Speaker_B | B did you send us an email about this ?
[02:34] Speaker_A | Do you want do you want me to send you a mail ?
[02:41] Speaker_D | Or you can put it in the shared folder .
"[02:44] Speaker_B | Yeah , you see the email ? You email . The v very no , no the first one . It's inside ."
"[02:47] Speaker_D | No , I didn't get it ."
[02:52] Speaker_D | This one . No .
"[02:53] Speaker_B | No , no . The third one ."
"[02:57] Speaker_B | Oh , you didn't get anything ."
"[02:58] Speaker_D | No , ."
[03:00] Speaker_B | It's strange .
"[03:12] Speaker_B | I dunno from who . From the account manager . You have received the same email , right ? Yeah ."
"[03:13] Speaker_C | Yeah , from the account manager ."
[03:17] Speaker_C | Yeah .
[03:19] Speaker_D | I think it's for your guys to how to design it all the aspects so you need that information .
[03:24] Speaker_B | Yeah .
"[03:25] Speaker_C | Yeah , I think so ."
"[03:26] Speaker_B | Yeah , so each of us has a role to do ."
[03:28] Speaker_D | Yeah I think assign your uh roles .
[03:31] Speaker_A | For each for each one .
[03:32] Speaker_B | We already have our role .
"[03:33] Speaker_D | For each person , yeah ."
"[03:36] Speaker_A | So there are so we have three f yeah . We have functional design , conceptual design , and detail design ."
"[03:36] Speaker_B | So there are three kinds of designs , that's all ."
"[03:44] Speaker_A | So , who will be the the responsible for the functional design ? Any any volunteer ?"
[03:51] Speaker_C | I think our uh responsibilities will be assigned when we in our mail we received from the account manager .
[03:59] Speaker_B | I'm doing the interface .
[04:01] Speaker_A | You are doing th
"[04:11] Speaker_C | Well , maybe we have okay so I industrial design ."
[04:17] Speaker_C | It was a little confusion about my uh but it's alright .
[04:22] Speaker_B | Okay .
"[04:22] Speaker_A | Okay , I'll for industrial design ."
[04:24] Speaker_C | Yeah .
[04:26] Speaker_A | Okay .
[04:33] Speaker_A | Norman ?
[04:39] Speaker_C | User .
"[04:57] Speaker_D | Uh , I'm into marketing . yeah nothing much in the project ."
[05:07] Speaker_D | Marketing in this design . A design is basically for industrial design and the user interface .
[05:09] Speaker_B | Yes .
[05:18] Speaker_B | You see the second mail ?
"[05:22] Speaker_B | Yeah , it's inside . Go down ."
[05:26] Speaker_B | Appendix .
"[05:28] Speaker_D | Yeah , this is ."
[05:28] Speaker_B | See there's a role for everybody .
"[05:30] Speaker_D | Yeah , that's right , first ."
[05:31] Speaker_B | Even for the marketing .
"[05:35] Speaker_B | But look at your role , your marketing role ."
[05:35] Speaker_A | Next .
[05:42] Speaker_D | There's a trend watching .
[05:43] Speaker_A | I don't know . I .
"[05:44] Speaker_B | Yeah , that's your role ."
"[05:57] Speaker_A | Maybe we'll discuss this later , no ?"
"[06:02] Speaker_C | Well , w we want to have a new re remote control for for T_V_ distribution I guess ."
[06:11] Speaker_A | Mm-hmm .
