[00:37] Speaker_C | Okay .
[00:38] Speaker_D | Or you get it . Okay .
[00:44] Speaker_C | No I don't think so it has to be like that yeah and you have to adjust the length .
"[01:09] Speaker_C | Okay , and then ."
"[01:35] Speaker_C | Yeah , s yeah , um ."
"[01:50] Speaker_C | I think you can put anywhere you want , actually ."
[01:54] Speaker_C | I thin
"[01:56] Speaker_C | It's not a directional mic , anyway ."
[02:02] Speaker_B | I think it should work like this . So I will try to get my presentation running .
[02:06] Speaker_C | Uh .
[02:12] Speaker_D | Yeah .
[02:13] Speaker_C | Yeah .
[02:18] Speaker_B | Mm .
[02:21] Speaker_D | Mm . Can't help you with that .
[02:22] Speaker_C | Last .
"[02:24] Speaker_D | Okay , it's y yeah ."
[02:24] Speaker_B | It's no matter .
[02:28] Speaker_B | No problem .
[02:30] Speaker_B | Ah yes .
[02:34] Speaker_D | Right .
[02:38] Speaker_C | Okay .
[02:41] Speaker_D | Then press uh al
[02:44] Speaker_C | Okay .
[02:45] Speaker_D | This . You know ?
[02:46] Speaker_B | I don't know . Just try .
[02:49] Speaker_C | 'Kay .
[02:50] Speaker_D | Oh oh .
[02:51] Speaker_C | Alt F_ five .
[02:54] Speaker_B | Good . Doesn't appear on the screen here .
[03:03] Speaker_B | Oh .
[03:04] Speaker_D | Wow . Amazing . It's working .
[03:08] Speaker_B | Okay . Thank you . Uh .
[03:28] Speaker_A | Hold that .
[03:33] Speaker_A | Okay .
[03:36] Speaker_B | Somewhere .
[03:36] Speaker_A | Okay . Mm .
"[03:44] Speaker_B | So , good morning , everyone ."
[03:49] Speaker_B | Welcome at uh at the kick off meeting of our uh latest project . I hope you all have been uh updated about it .
[03:56] Speaker_D | Yeah .
[03:58] Speaker_B | Good .
[03:58] Speaker_C | So . Yes .
[04:00] Speaker_B | So w we will try to structure this uh meeting with an a with an agenda uh as presented here . Um after the opening we will tr get acquainted to each other . See what our roles are in this project .
"[04:27] Speaker_B | to communicate and to well , learn from each other's plans uh as I can say um so w"
[04:37] Speaker_B | we will also try to uh
[04:40] Speaker_B | to get acquainted to this tools so they are also new to me I don't know whether you worked with them before . Um then we will come to the uh to the to the actual project plan . You all know I hope how it's about uh the uh new r remote control we are going going to design .
[04:58] Speaker_A | Mm-hmm .
[04:59] Speaker_C | Total .
[05:08] Speaker_B | wh what uh what our new product should look lite like . And uh well then uh after some twenty five minutes I hope uh we can end this meeting .
"[05:33] Speaker_B | We When you design a new product you of uh you of course want it to be original . Be uh we want to be distinguished , mm ? People uh want to uh when they look at the shelf want to think , well that's the product I I need . So it needs to be trendy . I mean trendy is what people want , so then I w they will buy our product ."
"[05:57] Speaker_B | But then , uh , it also should work uh user friendly and uh otherwise people uh uh well it will not be uh"
[06:10] Speaker_B | be rated very well in consumer uh articles and like that .
[06:32] Speaker_B | You all get uh um certain task uh in this uh in this phase and uh
[06:41] Speaker_B | then we will meet again and uh discuss this functional design . And the same holds for the uh
"[06:49] Speaker_B | ph two phases uh after this , the conceptual design"
[06:54] Speaker_B | and after that a a more detailed design in which the the final project should get its definite shape .
"[07:06] Speaker_B | Alright , but first we will do some uh tool training ."
[07:11] Speaker_B | In all in front of you uh you see uh the uh
[07:16] Speaker_B | notebooks and w uh n note blocks and we have here a
[07:21] Speaker_B | a a a white-board .
[07:23] Speaker_A | Mm-hmm .
[07:40] Speaker_D | Under documents in the shared folder . Okay .
[07:44] Speaker_B | Yes . Do Do we have to say something about that ? I I I'm not fully updated about this shared folder uh .
"[07:52] Speaker_D | Yeah , I guess we'll have a shared folder uh with documents that we can share . And uh , yeah ."
[07:58] Speaker_B | Yes well we will then find out ho how it works .
[08:02] Speaker_D | Yes .
[08:03] Speaker_B | Um .
"[08:06] Speaker_B | Well , this seems to me , yes , some computer program but I didn't find it yet ."
"[08:11] Speaker_B | So , we'll come to that later ."
"[08:15] Speaker_B | So , uh now we will try out the white-board we have here ."
"[08:22] Speaker_B | So ,"
[08:27] Speaker_D | Each of us is going .
"[08:41] Speaker_D | Okay , shall I start ?"
[08:42] Speaker_A | Mm . Yeah .
"[08:42] Speaker_C | Yeah , you can start it you know ."
"[08:42] Speaker_B | Yes , a good idea Mael ."
"[08:44] Speaker_A | I think for us it's just like a normal whiteboard , but they'll be recording what we write down ."
"[08:47] Speaker_D | So , i"
[08:48] Speaker_C | No they will record through that . There's a sensor over there which is going to record the strokes that you make .
[08:51] Speaker_A | Mm . Mm .
[08:53] Speaker_A | But for us it's just like a normal whiteboard .
[08:53] Speaker_B | Okay .
[08:54] Speaker_C | Yeah .
[08:56] Speaker_B | 'Kay .
[09:11] Speaker_B | D doesn't it work ?
"[09:13] Speaker_B | Maybe someo Maybe maybe Anna , maybe you can start . Then he can maybe find out to get his cord right ."
[09:15] Speaker_A | Mm-hmm .
[09:15] Speaker_D | Yeah .
[09:22] Speaker_A | I have to draw .
[09:25] Speaker_B | L Why don't you draw uh your favourite animal on on th on the white-board .
[09:29] Speaker_A | M my my favourite animal . Sorry this is all tangled up here .
[09:40] Speaker_A | That's better .
[09:44] Speaker_C | Yeah .
[09:45] Speaker_B | Yeah .
[09:47] Speaker_B | Yes . Mm .
[09:55] Speaker_A | Mm-hmm . I'm a very bad drawer .
[10:02] Speaker_A | Weird .
[10:07] Speaker_A | Um . You're not gonna be able to guess from my drawing . I'm a bad drawer . Okay .
[10:14] Speaker_B | Mm .
"[10:17] Speaker_A | They're ears , by the way . No . Um close though ."
[10:17] Speaker_C | 's a cat .
[10:26] Speaker_A | Okay so like a pet animal .
[10:37] Speaker_C | Yeah .
"[10:41] Speaker_A | No , not a cat though ."
[10:45] Speaker_B | What is this now ?
[10:58] Speaker_C | Ah you forget about it .
[11:01] Speaker_D | You're on the knife .
"[11:02] Speaker_C | Yeah , uh I think it's fine . I just don't want to carry it off ."
"[11:11] Speaker_C | Man , this wires , eh ? We need a wireless microphone ."
[11:18] Speaker_C | You know ? Pro specially we should next project we should take l like that .
"[11:28] Speaker_B | So , that's the cat . Oh ."
[11:30] Speaker_D | Mael .
[11:31] Speaker_C | So .
[11:32] Speaker_B | It's a dog .
"[11:34] Speaker_B | So but that's also kind of cat , isn't it ?"
[11:35] Speaker_C | Oh the dog doesn't have a tail ?
[11:37] Speaker_B | B bo both predators .
"[11:38] Speaker_C | Yeah , sure , yeah . I thought so . The dogs have a tail ."
[11:40] Speaker_A | Yeah yeah .
"[11:43] Speaker_B | So , thank you . Uh d did you uh work out cord ?"
[11:48] Speaker_C | Yeah .
"[11:48] Speaker_D | Yeah , I think I will go without without it , right ?"
[11:50] Speaker_A | Okay .
[11:52] Speaker_B | Okay .
"[11:55] Speaker_C | It'll still not extend , right ? It's not up to that ."
"[12:02] Speaker_A | Okay , there you go . So what favourite characteristics . Uh . Dogs are always friendly and loyal and fun ."
[12:29] Speaker_A | A horse ?
[12:30] Speaker_C | It's a horse .
[12:47] Speaker_C | Ah I think you can put that .
[12:55] Speaker_A | Mm-hmm . That's it .
[13:05] Speaker_B | Yes .
[13:14] Speaker_A | The very rare blue zebras . Yes .
[13:18] Speaker_B | Ma Matthew ?
[13:25] Speaker_C | Uh ?
[13:28] Speaker_C | Mm-hmm .
[13:33] Speaker_A | You got a lot of room here . You can probably reach .
[13:35] Speaker_C | Oh y it's not for that .
[13:37] Speaker_A | No ?
[13:37] Speaker_C | No .
[13:38] Speaker_B | I hope you have some space in your uh the horse of uh Mael .
[13:40] Speaker_C | Okay . Yeah .
[13:45] Speaker_C | So what should I draw ? Mm .
[13:48] Speaker_C | He has already to do cat .
[14:01] Speaker_A | Um .
[14:03] Speaker_A | A mouse ?
"[14:17] Speaker_D | Yeah . And we should sum up its favourite charas characteristics , right ?"
"[14:30] Speaker_B | Yes , the moustache ."
[14:33] Speaker_B | That's that's definitely a cat .
[14:35] Speaker_A | Mm-hmm .
