"[00:34] Speaker_A | Okay uh Agnes , you can help me for the slide when okay ."
[00:36] Speaker_C | Yep . Sure .
"[00:40] Speaker_A | Okay , welcome back ."
[00:42] Speaker_A | I hope uh you have a fresh head and a fresh time .
[00:48] Speaker_A | How t now the meeting actually we gathering here to discuss about the functional design meeting .
"[00:59] Speaker_A | Okay , and uh we'll issue some information from uh all of you ."
"[01:04] Speaker_A | And it's in the , I think uh , in the sharing folder ."
[01:08] Speaker_A | And uh I will invite uh the Christine and the Ed and uh Agnes to discuss about on the various subjects .
[01:16] Speaker_A | So can you go to the next slide ?
[01:19] Speaker_A | Yeah uh the agenda of the meeting is opening .
"[01:23] Speaker_A | Then uh I'm going to talk about uh the project management , what I'm going to do , and uh , of course , I'm doing the project management and secretary both ,"
"[01:32] Speaker_A | okay , to take the minutes of the meeting ."
[01:35] Speaker_A | And there are three presentations .
[01:37] Speaker_A | One is uh new project requirements .
[01:39] Speaker_A | And the second one about uh decision on remote control functions .
[01:43] Speaker_A | And uh finally we are closing .
"[01:45] Speaker_A | Uh and the meeting time will be uh forty minutes , so you have to be very quick ."
"[01:51] Speaker_A | And I have come up with the management come with the new proposal , okay , and I have to discuss a few points on this ."
[01:58] Speaker_A | Uh both says new insights in the aim of your project .
"[02:06] Speaker_A | Uh the one is uh the teletext becomes uh outmoded , okay because if uh because of the computer systems and the new technology ."
[02:15] Speaker_A | So we don't need to consider really about the teletext all in our new project design .
[02:20] Speaker_A | And the second one is about uh the remote control .
[02:25] Speaker_A | Should be used only for the T_V_ .
[02:29] Speaker_A | That's what our uh management says .
"[02:33] Speaker_A | And the third point , it's very very important to establish our uh marketing or uh corporate image , okay , with this new project or new product ."
[02:46] Speaker_A | Okay .
"[02:50] Speaker_A | Agnes , can you go to the third slide ?"
"[02:54] Speaker_C | No , this is the third slide ."
"[02:56] Speaker_A | Okay , ."
"[02:56] Speaker_A | So , I'll invite uh Christine to discuss about uh the functional design ."
[03:06] Speaker_C | Sure .
[03:08] Speaker_C | Um .
[03:14] Speaker_C | You're participant s
[03:16] Speaker_B | I'm number two .
[03:19] Speaker_C | Two ?
[03:20] Speaker_B | That's it .
"[03:26] Speaker_B | I'll do the notes . Yeah , thanks ."
[03:55] Speaker_B | It needs to be able y y have to be able to find it .
[03:58] Speaker_B | Because one of the biggest problems with remote controls is finding them .
"[04:03] Speaker_B | So uh , I also , since we have to establish our corporate image on the basis of this new product , thought we better look at things that are popular and um ex go beyond those , and , as I said in the first meeting ,"
"[04:33] Speaker_B | I did a little history on uh the the uh remote controls and when they were invented and so forth , so , I guess this guy Zenith uh created the Flashmatic , which I kinda like the idea , 'cause it made me think of um um maybe the remote control made a big flash when uh you turn the T_V_ on and off , that might be interesting ."
"[04:53] Speaker_B | And um so it was highly directional flash light that uh you could turn the picture on and off , and the sound on and off , and change channels c so I think um those are still requirements we have today , uh fifty years later ."
[05:11] Speaker_C | Mm-hmm .
"[05:13] Speaker_B | And uh it was really a pioneering innovation , but it was uh sensitive to the sun , so that uh it would get would start off by the you'd get it would easily cause um problems ."
"[05:27] Speaker_B | So , uh"
[05:44] Speaker_B | is r um really uh something to keep in mind . It'd be easy to find .
"[05:49] Speaker_B | And um it would uh y you'd you could throw it at things if if the T_V_ didn't turn on and off , you could use it for something else ."
"[06:00] Speaker_B | And since I'm not really um Industrial Designer , I didn't really know what to do with this slide ."
[06:06] Speaker_B | But um
"[06:22] Speaker_B | So ,"
"[06:23] Speaker_B | uh personal preferences , um"
"[06:27] Speaker_B | I think we could uh I I'm really thinking outside the box here , and I think that we should consider perhaps having an an an a a size uh a remote control that changes in size depending on the user preference ."
[06:40] Speaker_B | So something that's very very flexible and inflatable and then you could shrink it .
"[06:44] Speaker_B | I think um it could either be you could go either one extreme , be very colourful , or you could make it clear , and um kind of blend in with things , so you didn't have to um uh have a problem with the th the decoration of the of the user's home ."
"[07:01] Speaker_B | Um I think uh it needs to be waterproof , because uh sometimes they fall into cups and , you know , it might be out by the swimming pool or something like that ."
